CALIB_AIRSPEED,TRUE_AIRSPEED,VERTICAL_SPEED,ALTITUDE,AOA_LEFT,AOA_RIGHT,MAGNETIC_HEADING,AUTOPILOT_ENGAGED,AUTOTHROTTLE_ENGAGED,IN_AIR
183.0,187.75,392.0,245.0,4.97,4.35,-112.32,0.0,1.0,0.0
187.5,192.25,536.0,270.0,7.56,7.34,-112.15,0.0,1.0,1.0
187.25,192.0,784.0,255.0,9.89,10.15,-111.97,0.0,1.0,1.0
188.0,192.75,1176.0,259.0,11.43,11.43,-111.8,0.0,1.0,1.0
190.25,195.0,1640.0,279.0,11.69,11.73,-111.71,0.0,1.0,1.0
191.0,196.0,2024.0,302.0,11.43,12.08,-111.53,0.0,1.0,1.0
190.88,196.0,2352.0,323.0,11.38,11.43,-111.53,0.0,1.0,1.0
189.25,194.25,2512.0,343.0,10.24,10.5,-111.44,0.0,1.0,1.0
189.75,195.0,2648.0,389.0,8.44,8.79,-111.44,0.0,1.0,1.0
186.38,191.5,2680.0,424.0,9.36,9.58,-111.44,0.0,1.0,1.0
187.75,193.25,2600.0,473.0,7.95,8.61,-111.44,0.0,1.0,1.0
189.0,194.5,2480.0,516.0,7.03,7.03,-111.36,0.0,1.0,1.0
188.75,194.5,2312.0,554.0,6.94,6.64,-111.44,0.0,1.0,1.0
189.5,195.25,2152.0,591.0,6.64,6.68,-111.44,0.0,1.0,1.0
189.88,195.75,2056.0,625.0,7.29,7.47,-111.44,0.0,1.0,1.0
189.25,195.25,2016.0,660.0,7.82,8.22,-111.44,0.0,1.0,1.0
191.5,197.5,2040.0,697.0,7.6,7.73,-111.44,0.0,1.0,1.0
189.88,196.0,2112.0,733.0,7.08,7.16,-111.36,0.0,1.0,1.0
190.12,196.25,2200.0,764.0,8.26,8.26,-111.36,0.0,1.0,1.0
189.75,196.0,2312.0,803.0,9.05,9.32,-111.36,0.0,1.0,1.0
190.25,196.75,2424.0,848.0,8.53,8.57,-111.44,0.0,1.0,1.0
190.62,197.25,2464.0,889.0,8.39,8.7,-111.27,0.0,1.0,1.0
190.88,197.5,2392.0,935.0,7.56,7.95,-110.83,0.0,1.0,1.0
190.25,197.0,2336.0,975.0,7.69,7.73,-110.04,0.0,1.0,1.0
188.0,195.0,2272.0,1012.0,7.25,7.03,-108.54,0.0,1.0,1.0
189.62,196.5,2224.0,1046.0,7.78,7.78,-106.61,0.0,1.0,1.0
190.38,197.5,2232.0,1085.0,8.57,8.57,-104.68,0.0,1.0,1.0
190.25,197.5,2248.0,1123.0,8.83,8.79,-102.66,0.0,1.0,1.0
189.12,196.75,2264.0,1161.0,8.57,8.88,-100.55,0.0,1.0,1.0
188.75,196.25,2240.0,1199.0,8.66,8.75,-98.35,0.0,1.0,1.0
188.62,196.25,2168.0,1238.0,8.66,8.61,-96.24,0.0,1.0,1.0
187.62,195.5,2104.0,1277.0,8.13,8.13,-94.22,0.0,1.0,1.0
187.5,195.5,1968.0,1312.0,8.13,8.26,-92.29,0.0,1.0,1.0
187.5,195.5,1800.0,1346.0,7.87,8.04,-90.35,0.0,1.0,1.0
187.5,195.5,1624.0,1377.0,7.43,7.47,-88.24,0.0,1.0,1.0
188.0,196.25,1480.0,1404.0,7.47,7.47,-86.04,0.0,1.0,1.0
188.0,196.25,1352.0,1428.0,8.31,8.31,-83.67,0.0,1.0,1.0
188.88,197.25,1232.0,1454.0,8.22,8.39,-81.47,0.0,1.0,1.0
189.62,198.0,1096.0,1476.0,8.09,8.17,-79.28,0.0,1.0,1.0
190.12,198.75,936.0,1498.0,7.65,7.65,-77.08,0.0,1.0,1.0
190.75,199.5,792.0,1514.0,7.38,7.38,-74.88,0.0,1.0,1.0
191.75,200.5,696.0,1527.0,7.56,7.69,-72.42,0.0,1.0,1.0
